name lat lon begin end
0NBR 56.7459 15.908999999999992 2018-11-10 2024-08-24
0NBY 62.3002 17.3639 2010-05-07 2023-09-21
0NFJ 65.42 21.49279999999999 2023-02-28 2024-08-24
0NHL 58.5093 15.975599999999986 2015-04-10 2024-08-24
0NIH 67.8537 20.097399999999993 2023-04-12 2024-08-24
0NIK 65.8054 23.914800000000014 2008-06-27 2024-08-24
0NOA 61.4319 13.240199999999987 2015-04-14 2024-08-24
0NOF 63.7678 18.99539999999999 2012-06-06 2024-08-24
0NOL 57.9208 12.066100000000006 2007-03-23 2008-06-11
0NOR 58.5902 16.246399999999994 1994-08-13 2024-08-24
0NOS 64.9106 19.48169999999999 2015-01-27 2024-08-24
0NRA 64.4359 15.591800000000006 2007-08-24 2024-08-24
0NUN 57.5959 13.724799999999988 2019-05-23 2024-08-24
0NYB 65.7959 23.170000000000016 2006-08-11 2024-08-24
0NYH 56.2443 12.539899999999989 2002-09-09 2007-06-13
0NYK 58.77 16.977599999999995 2015-04-15 2024-08-24
0NYL 63.7173 18.4966 2007-09-27 2024-08-24
0NYN 58.903 17.944199999999995 2001-09-17 2024-08-24
0OCK 60.8905 16.716700000000003 2013-10-23 2024-08-24
0ODE 58.2266 14.651600000000002 2011-10-27 2024-08-24
0OKC 57.2519 16.46539999999999 2013-01-11 2024-08-24
0OML 58.951 17.1593 2014-05-21 2024-08-24
0OMO 59.2634 15.219699999999989 2013-12-09 2018-09-12
0OPP 58.0343 15.806900000000013 2004-09-29 2024-08-24
0ORK 56.2861 13.275100000000009 2011-09-28 2024-08-24
0ORN 63.2903 18.71780000000001 2007-09-08 2024-08-24
0ORR 56.8395 15.744900000000001 2018-10-12 2024-08-24
0ORS 56.7012 15.752700000000004 2004-09-29 2024-08-24
0OSA 56.8016 12.9786 2016-10-12 2024-08-24
0OSC 63.1694 14.672899999999998 2012-04-25 2024-08-24
0OSK 57.0656 15.996800000000007 1994-08-18 2024-08-24
0OSM 57.8252 15.276600000000002 2013-10-23 2024-08-24
0OST 63.4428 14.858100000000007 1994-01-22 2024-08-24
0OSV 60.183 17.174800000000005 2002-04-21 2007-02-01
0OTM 60.284 12.7577 2005-11-18 2024-08-24
0OVB 64.5143 21.255600000000015 2023-06-14 2024-08-24
0OVE 66.3179 22.77340000000001 1994-09-05 2024-08-24
0OVT 66.3857 23.65870000000001 2006-06-28 2024-08-24
0OXE 58.671 17.107 2002-04-21 2024-08-24
0PAH 67.7947 20.086399999999998 2023-05-29 2024-08-24
0PAU 57.4664 15.51060000000001 2004-09-28 2024-08-24
0PIN 65.3292 21.466999999999985 2023-02-08 2024-08-24
0PIS 65.2365 21.63220000000001 2023-01-16 2024-08-24
0PJU 66.9586 19.818100000000015 2013-05-08 2024-08-24
0PRA 67.8817 20.184300000000007 2022-05-14 2024-08-24
0RAD 57.6809 12.714200000000005 2017-12-23 2024-08-24
0RAM 62.1823 15.649499999999989 2007-08-29 2024-08-24
0RAT 63.9856 20.8956 2006-06-09 2023-12-13
0RAU 67.9944 19.8947 2009-06-25 2024-08-24
0RAV 57.6496 12.49090000000001 2017-03-02 2024-08-24
0REJ 58.8254 15.930200000000013 2015-06-05 2024-08-24
0REN 61.3648 16.6173 2014-02-12 2024-08-24
0RIB 56.6512 16.248699999999985 2018-10-05 2024-08-24
0RIN 58.3346 16.449000000000012 2015-05-05 2024-08-24
0ROB 56.2079 15.272199999999998 2013-03-13 2021-11-17
0ROC 56.8016 16.346499999999992 2018-10-05 2024-08-24
0ROE 57.7794 14.213899999999995 2019-04-11 2024-08-24
0ROM 57.5113 18.44829999999999 2011-07-08 2024-08-24
0ROR 57.777 11.615800000000007 2002-10-18 2024-08-24
0ROS 65.427 21.690799999999996 2012-12-12 2024-08-24
0ROT 57.0231 14.890500000000003 2004-09-29 2024-08-24
0RUN 56.6977 16.692499999999995 2004-09-30 2021-12-06
0RYF 56.5632 13.932199999999995 2012-01-04 2024-08-24
0SAA 63.9004 20.556100000000015 2019-06-27 2024-08-24
0SAF 59.1359 12.934699999999992 2005-11-19 2024-08-24
0SAK 63.9691 20.709399999999988 2019-10-24 2024-08-24
0SAL 61.1542 13.266099999999994 2005-11-19 2024-08-24
0SAN 61.2662 17.153899999999993 2005-11-15 2024-08-24
0SAR 61.6938 13.148200000000003 2005-11-18 2024-08-24
0SAT 60.3465 15.745000000000005 2013-11-26 2022-02-06
0SAV 65.7698 21.738400000000013 2012-10-31 2024-08-24
0SAX 64.9718 15.347499999999997 2008-03-20 2024-08-24
0SBA 60.0717 15.557099999999991 2013-06-08 2024-08-24
0SBR 62.4596 17.357 2015-12-21 2024-08-24
0SBY 56.631 16.512900000000002 2019-02-16 2024-08-24
0SDE 59.1896 17.608100000000007 2010-08-09 2024-08-24
0SEI 66.9779 18.583 2021-11-03 2024-08-24
0SIB 56.2642 14.197399999999988 2012-11-06 2024-08-24
0SJM 65.523 21.488400000000013 2023-02-28 2024-08-24
0SJN 65.3462 21.241899999999987 2023-02-07 2024-08-24
0SJO 58.7835 17.101499999999987 2015-04-09 2024-08-24
0SKB 62.3994 17.338099999999997 2010-04-30 2016-01-28
0SKC 64.7543 20.92150000000001 2019-07-02 2024-08-24
0SKE 64.8792 21.048300000000012 1994-03-26 2024-08-24
0SKH 64.6886 21.230500000000006 2019-07-26 2024-08-24
0SKL 55.4749 14.27940000000001 2002-09-09 2024-08-24
0SKN 55.4138 12.8579 2003-02-01 2024-08-24
